Year,Month,Day,Close,AdjustedClose
1981,12,29,1936.60,1931.68
1981,12,30,1946.40,1941.46
1981,12,31,1954.20,1949.24
1982,1,1,0.00,0.00
1982,1,4,1956.30,1951.33
1982,1,5,1916.80,1911.93
1982,1,6,1900.70,1895.87
1982,1,7,1887.00,1882.21
1982,1,8,1892.70,1887.89
1982,1,11,1856.80,1852.08
1982,1,12,1833.40,1828.74
1982,1,13,1800.30,1795.73
1982,1,14,1803.40,1798.82
1982,1,15,1813.20,1808.60
1982,1,18,1813.10,1808.50
1982,1,19,1797.90,1793.33
1982,1,20,1777.50,1772.99
1982,1,21,1759.70,1755.23
1982,1,22,1740.80,1736.38
1982,1,25,1721.30,1716.93
1982,1,26,1704.60,1700.27
1982,1,27,1717.40,1713.04
1982,1,28,1783.10,1778.57
1982,1,29,1786.90,1782.36
1982,2,1,1740.90,1736.48
1982,2,2,1750.00,1745.56
1982,2,3,1734.50,1730.10
1982,2,4,1728.00,1723.61
1982,2,5,1731.30,1726.90
1982,2,8,1689.40,1685.11
1982,2,9,1675.00,1670.75
1982,2,10,1677.10,1672.84
1982,2,11,1680.10,1675.83
1982,2,12,1676.40,1672.14
1982,2,15,0.00,0.00
1982,2,16,1652.20,1648.00
1982,2,17,1658.40,1654.19
1982,2,18,1663.10,1658.88
1982,2,19,1662.80,1658.58
1982,2,22,1655.60,1651.40
1982,2,23,1658.60,1654.39
1982,2,24,1676.00,1671.74
1982,2,25,1677.60,1673.34
1982,2,26,1671.30,1667.06
1982,3,1,1681.00,1676.73
1982,3,2,1677.80,1673.54
1982,3,3,1640.80,1636.63
1982,3,4,1622.20,1618.08
1982,3,5,1600.50,1596.44
1982,3,8,1567.40,1563.42
1982,3,9,1561.40,1557.43
1982,3,10,1574.80,1570.80
1982,3,11,1568.70,1564.72
1982,3,12,1546.80,1542.87
1982,3,15,1537.60,1533.70
1982,3,16,1542.40,1538.48
1982,3,17,1548.70,1544.77
1982,3,18,1572.00,1568.01
1982,3,19,1584.00,1579.98
1982,3,22,1622.10,1617.98
1982,3,23,1629.40,1625.26
1982,3,24,1615.90,1611.80
1982,3,25,1620.30,1616.19
1982,3,26,1607.10,1603.02
1982,3,29,1603.50,1599.43
1982,3,30,1595.50,1591.45
1982,3,31,1587.80,1583.77
1982,4,1,1590.40,1586.36
1982,4,2,1587.50,1583.47
1982,4,5,1580.70,1576.69
1982,4,6,1581.90,1577.88
1982,4,7,1586.10,1582.07
1982,4,8,1606.00,1601.92
1982,4,9,0.00,0.00
1982,4,12,1623.50,1619.38
1982,4,13,1634.80,1630.65
1982,4,14,1630.30,1626.16
1982,4,15,1620.20,1616.09
1982,4,16,1613.10,1609.00
1982,4,19,1604.60,1600.53
1982,4,20,1595.30,1591.25
1982,4,21,1585.90,1581.87
1982,4,22,1588.00,1583.97
1982,4,23,1583.30,1579.28
1982,4,26,1586.10,1582.07
1982,4,27,1571.80,1567.81
1982,4,28,1566.10,1562.12
1982,4,29,1552.10,1548.16
1982,4,30,1548.20,1544.27
1982,5,3,1542.00,1538.08
1982,5,4,1543.10,1539.18
1982,5,5,1526.50,1522.62
1982,5,6,1527.30,1523.42
1982,5,7,1544.30,1540.38
1982,5,10,1555.10,1551.15
1982,5,11,1592.60,1588.56
1982,5,12,1586.00,1581.97
1982,5,13,1570.20,1566.21
1982,5,14,1564.80,1560.83
1982,5,17,1543.20,1539.28
1982,5,18,1531.60,1527.71
1982,5,19,1521.20,1517.34
1982,5,20,1500.70,1496.89
1982,5,21,1511.30,1507.46
1982,5,24,0.00,0.00
1982,5,25,1510.40,1506.56
1982,5,26,1503.10,1499.28
1982,5,27,1497.50,1493.70
1982,5,28,1526.40,1522.52
1982,5,31,0.00,0.00
1982,6,1,1496.00,1492.20
1982,6,2,1495.50,1491.70
1982,6,3,1484.40,1480.63
1982,6,4,1460.80,1457.09
1982,6,7,1459.10,1455.39
1982,6,8,1455.20,1451.50
1982,6,9,1437.20,1433.55
1982,6,10,1427.20,1423.58
1982,6,11,1447.70,1444.02
1982,6,14,1431.40,1427.77
1982,6,15,1415.50,1411.91
1982,6,16,1404.80,1401.23
1982,6,17,1377.50,1374.00
1982,6,18,1365.20,1361.73
1982,6,21,1355.70,1352.26
1982,6,22,1394.00,1390.46
1982,6,23,1419.90,1416.29
1982,6,24,1403.40,1399.84
1982,6,25,1398.00,1394.45
1982,6,28,1411.30,1407.72
1982,6,29,1366.90,1363.43
1982,6,30,1366.80,1363.33
1982,7,1,0.00,0.00
1982,7,2,1360.00,1356.55
1982,7,5,1359.80,1356.35
1982,7,6,1354.50,1351.06
1982,7,7,1352.30,1348.87
1982,7,8,1346.40,1342.98
1982,7,9,1363.80,1360.34
1982,7,12,1387.00,1383.48
1982,7,13,1384.30,1380.78
1982,7,14,1391.50,1387.97
1982,7,15,1402.80,1399.24
1982,7,16,1421.90,1418.29
1982,7,19,1431.70,1428.06
1982,7,20,1436.00,1432.35
1982,7,21,1440.30,1436.64
1982,7,22,1443.00,1439.34
1982,7,23,1454.80,1451.11
1982,7,26,1454.10,1450.41
1982,7,27,1441.60,1437.94
1982,7,28,1418.00,1414.40
1982,7,29,1412.40,1408.81
1982,7,30,1411.90,1408.31
1982,8,2,0.00,0.00
1982,8,3,1423.70,1420.08
1982,8,4,1421.10,1417.49
1982,8,5,1419.50,1415.90
1982,8,6,1413.40,1409.81
1982,8,9,1398.00,1394.45
1982,8,10,1392.50,1388.96
1982,8,11,1392.50,1388.96
1982,8,12,1393.60,1390.06
1982,8,13,1402.50,1398.94
1982,8,16,1404.00,1400.43
1982,8,17,1435.90,1432.25
1982,8,18,1471.90,1468.16
1982,8,19,1487.50,1483.72
1982,8,20,1524.90,1521.03
1982,8,23,1549.10,1545.17
1982,8,24,1550.30,1546.36
1982,8,25,1562.80,1558.83
1982,8,26,1588.70,1584.67
1982,8,27,1586.10,1582.07
1982,8,30,1585.80,1581.77
1982,8,31,1613.30,1609.20
1982,9,1,1615.60,1611.50
1982,9,2,1639.90,1635.74
1982,9,3,1650.70,1646.51
1982,9,6,0.00,0.00
1982,9,7,1631.70,1627.56
1982,9,8,1621.80,1617.68
1982,9,9,1622.00,1617.88
1982,9,10,1604.00,1599.93
1982,9,13,1602.20,1598.13
1982,9,14,1615.00,1610.90
1982,9,15,1627.90,1623.77
1982,9,16,1647.30,1643.12
1982,9,17,1646.10,1641.92
1982,9,20,1636.10,1631.95
1982,9,21,1658.20,1653.99
1982,9,22,1653.80,1649.60
1982,9,23,1648.20,1644.01
1982,9,24,1637.00,1632.84
1982,9,27,1635.30,1631.15
1982,9,28,1627.60,1623.47
1982,9,29,1612.60,1608.50
1982,9,30,1602.00,1597.93
1982,10,1,1591.10,1587.06
1982,10,4,1578.20,1574.19
1982,10,5,1583.10,1579.08
1982,10,6,1619.40,1615.29
1982,10,7,1669.10,1664.86
1982,10,8,1697.90,1693.59
1982,10,11,0.00,0.00
1982,10,12,1770.40,1765.90
1982,10,13,1799.50,1794.93
1982,10,14,1782.30,1777.77
1982,10,15,1759.30,1754.83
1982,10,18,1784.40,1779.87
1982,10,19,1781.70,1777.18
1982,10,20,1787.20,1782.66
1982,10,21,1792.80,1788.25
1982,10,22,1803.50,1798.92
1982,10,25,1758.40,1753.93
1982,10,26,1749.40,1744.96
1982,10,27,1779.20,1774.68
1982,10,28,1769.20,1764.71
1982,10,29,1774.00,1769.49
1982,11,1,1790.70,1786.15
1982,11,2,1834.10,1829.44
1982,11,3,1887.30,1882.51
1982,11,4,1882.70,1877.92
1982,11,5,1882.30,1877.52
1982,11,8,1865.10,1860.36
1982,11,9,1880.70,1875.92
1982,11,10,1871.30,1866.55
1982,11,11,1876.10,1871.34
1982,11,12,1858.50,1853.78
1982,11,15,1832.50,1827.85
1982,11,16,1815.10,1810.49
1982,11,17,1828.30,1823.66
1982,11,18,1843.10,1838.42
1982,11,19,1839.30,1834.63
1982,11,22,1812.40,1807.80
1982,11,23,1800.40,1795.83
1982,11,24,1804.20,1799.62
1982,11,25,0.00,0.00
1982,11,26,1817.50,1812.88
1982,11,29,1815.50,1810.89
1982,11,30,1838.30,1833.63
1982,12,1,1850.10,1845.40
1982,12,2,1854.90,1850.19
1982,12,3,1862.50,1857.77
1982,12,6,1880.30,1875.53
1982,12,7,1891.50,1886.70
1982,12,8,1878.70,1873.93
1982,12,9,1853.30,1848.59
1982,12,10,1851.70,1847.00
1982,12,13,1858.90,1854.18
1982,12,14,1858.40,1853.68
1982,12,15,1845.30,1840.61
1982,12,16,1846.60,1841.91
1982,12,17,1857.70,1852.98
1982,12,20,1851.70,1847.00
1982,12,21,1864.30,1859.57
1982,12,22,1872.70,1867.94
1982,12,23,1890.60,1885.80
1982,12,24,0.00,0.00
1982,12,27,0.00,0.00
1982,12,28,1909.80,1904.95
1982,12,29,1934.20,1929.29
1982,12,30,1935.30,1930.39
1982,12,31,1958.10,1953.13
1983,1,3,0.00,0.00
1983,1,4,1949.80,1944.85
1983,1,5,1980.40,1975.37
1983,1,6,2042.00,2036.81
1983,1,7,2073.20,2067.94
1983,1,10,2110.90,2105.54
1983,1,11,2088.30,2083.00
1983,1,12,2081.30,2076.01
1983,1,13,2063.90,2058.66
1983,1,14,2073.30,2068.04
1983,1,17,2081.40,2076.11
1983,1,18,2077.90,2072.62
1983,1,19,2055.20,2049.98
1983,1,20,2057.80,2052.57
1983,1,21,2024.50,2019.36
1983,1,24,1977.50,1972.48
1983,1,25,1987.30,1982.25
1983,1,26,1984.90,1979.86
1983,1,27,2014.10,2008.99
1983,1,28,2015.70,2010.58
1983,1,31,2031.50,2026.34
1983,2,1,2022.30,2017.16
1983,2,2,2031.70,2026.54
1983,2,3,2038.50,2033.32
1983,2,4,2055.10,2049.88
1983,2,7,2065.00,2059.76
1983,2,8,2075.70,2070.43
1983,2,9,2082.40,2077.11
1983,2,10,2110.20,2104.84
1983,2,11,2121.70,2116.31
1983,2,14,2136.90,2131.47
1983,2,15,2146.90,2141.45
1983,2,16,2147.60,2142.15
1983,2,17,2135.90,2130.48
1983,2,18,2136.80,2131.37
1983,2,21,0.00,0.00
1983,2,22,2066.70,2061.45
1983,2,23,2073.00,2067.74
1983,2,24,2126.50,2121.10
1983,2,25,2123.10,2117.71
1983,2,28,2090.40,2085.09
1983,3,1,2125.10,2119.70
1983,3,2,2157.90,2152.42
1983,3,3,2165.10,2159.60
1983,3,4,2163.60,2158.11
1983,3,7,2170.10,2164.59
1983,3,8,2143.10,2137.66
1983,3,9,2159.00,2153.52
1983,3,10,2169.90,2164.39
1983,3,11,2163.80,2158.31
1983,3,14,2154.20,2148.73
1983,3,15,2148.40,2142.94
1983,3,16,2136.10,2130.68
1983,3,17,2116.90,2111.52
